Naam	Brouwerij	Plaats
Gulden Draak	Brouwerij Van Steenberge	Ertvelde
Guldenberg	Brouwerij De Ranke	Wevelgem
Head Trip	Brouwerij Van Steenberge	Ertvelde
Hercule Stout	Brasserie Ellezelloise	Ellezelles
Het Kapittel Abt	Brouwerij Van Eecke	Watou
Het Kapittel Pater	Brouwerij Van Eecke	Watou
Hoegaarden	Brouwerij van Hoegaarden	Hoegaarden
Houblon	Brasserie D'Achouffe	Houffalize-Achouffe
Iris	Brasserie-Brouwerij Cantillon	Anderlecht
Iris 1996	Brasserie-Brouwerij Cantillon	Anderlecht
Jan de Lichte	Kleinbrouwerij de Glazen Toren	Erpe-Mere
Joseph Spelt Ale	Brasserie De Silenrieux	Cerfontaine-Silenrieux
Jupiler	InBev	Leuven
K-O Blond Beer	De Proef Brouwerij	Lochristi-Hijfte
Kasteel Bier Brune	Brouwerij Van Honsebrouck	Ingelmunster
Kasteel Bier Donker-Foncee	Brouwerij Van Honsebrouck	Ingelmunster
Kasteel Blonde	Van Honsebrouch	Ingelmunster
Kerst Pater Special Christmas Beer	Brouwerij Van Den Bossche	Sint-Lievens-Esse
Kriek	Brouwerij De Ranke	Wevelgem
Kriek	Brouwerij Boon	Lembeek
Kriek	Brouwerij Lindemans	Vlezenbeek
Kriek-Lambic	Brasserie-Brouwerij Cantillon	Anderlecht
La Bière des Collines van de Saisis	Brasserie Ellezelloise	Ellezelles
La Chouffe Golden Ale	Brasserie D'Achouffe	Houffalize-Achouffe
La Divine Double Blond	Brasserie de Silly	Silly
La Divine Tripel Amber	Brasserie de Silly	Silly
La Moneuse	Brasserie de Blaugies	Blaugies
La Quintine Ambrée / Amber	Brasserie Ellezelloise	Ellezelles
La Quintine Blonde	Brasserie Ellezelloise	Ellezelles
Lambic 2002	Brasserie-Brouwerij Cantillon	Anderlecht
Leffe Blonde	Abbaye de Leffe	Dinant
Leute Bok Bier	Brouwerij Van Steenberge	Ertvelde
Liefmans Kriekbier	Brouwerij Liefmans	Oudenaarde
Limburgse Witte	Brouwerij Sint-Jozef	Opitter
Loterbol	Brouwerij Duysters	Diest
Lozen Boer Abt	De Proef Brouwerij	Lochristi-Hijfte
Lucifer	Brouwerij Liefmans	Oudenaarde
Lucifer	Liefmans Breweries	Dentergem
Malheur 10	Brouwerij De Landtsheer	Buggenhout
Malheur 12	Brouwerij De Landtsheer	Buggenhout
Malheur Black Chocolate 2003	Brouwerij De Landtsheer	Buggenhout
Malheur Brut Reserve	Brouwerij De Landtsheer	Buggenhout
Malheur MM	Brouwerij De Landtsheer	Buggenhout
Maredsous 10 Tripple	Brouwerij Duvel Moortgat	Breendonk
Mariage Parfait 1995	Brouwerij Boon	Lembeek
Martin's Pale Ale	John Martin sa	Genval
McChouffe	Brasserie D'Achouffe	Houffalize-Achouffe
Moinette Blonde	Brasserie Dupont	Tourpes
Moinette Brune	Brasserie Dupont	Tourpes
Moneuse Speciale Noël	Brasserie de Blaugies	Blaugies
Monk Brown Ale	Brewery Corsendonk	Oud-Turnhout
Monk Pale Ale / Agnus Dei	Brewery Corsendonk	Oud-Turnhout
Monk's Cafe	Brouwerij Van Steenberge	Ertvelde
Mont St. Aubert	Brasserie de Brunehaut	Brunehaut
Montagnarde	Brasserie De L'Abbaye Des Rocs	Montignies-sur-Roc
Mort Subite Gueuze Lambic	Brouwerij De Keersmaeker	Kobbegem
Noblesse	de dochter van de korenaar	baarle-hertog
Nostradamus	Brasserie La Caracole	Falmignoul
Oerbier	Brouwerij De Dolle Brouwers	Esen
Ondineke Oilsjtersen Tripel	Kleinbrouwerij de Glazen Toren	Erpe-Mere
Original White Ale	Brouwerij van Hoegaarden	Hoegaarden
Orval Trappist Ale	Brasserie d'Orval	Villers-devant-Orval
Oudbeitje	Hanssens Artisanal	Dworp
Oude Geuze	3 Fonteinen Brouwerij Ambachtelijke Geuzestekerij	Beersel
Oude Gueuze	Hanssens Artisanal	Dworp
Oude Gueuze Vielle	Brouwerij Oud Beersel	Beersel
Oude Kriek	Hanssens Artisanal	Dworp
Père Noël	Brouwerij De Ranke	Wevelgem
Pêche / Pecheresse	Brouwerij Lindemans	Vlezenbeek
Palm Speciale	Palm Breweries	Steenhuffel
Pannepot	De Struise Brouwers	Woesten
